,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
0,稚内温泉 童夢,0,4,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
1,天然温泉天北の湯ドーミーイン稚内,2,4,対象：男女,96,16,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
2,稚内天然温泉 港のゆ,5,5,対象：男女,92,20,90,17,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
3,稚内グランドホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
4,ホテル奥田屋,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
5,礼文島温泉 うすゆきの湯,3,5,対象：男女,90,18,90,12,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
6,利尻富士温泉,12,7,対象：男女,100,7,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
7,はまとんべつ温泉ウイング,0,0,対象：男女,90,18,90,18,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ng,-
8,ホテル豊富,0,1,対象：男女,-,-,91,14,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
9,てしお温泉夕映,1,5,対象：男女,90,20,90,16,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
10,ポンピラ・アクア・リズイング,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
11,うたのぼりグリーンパークホテル,1,2,対象：男女,90,13,90,13,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
12,旭温泉,4,14,対象：男女,-,-,?,?,ng,ng,ok,ok,ok,-,-,-,-,-,-,-
13,しょさんべつ温泉 岬の湯,2,9,対象：男女,95,17,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
14,オホーツク温泉ホテル日の出岬,1,2,対象：男女,95,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
15,なよろ温泉サンピラー,0,1,対象：男女,94,17,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
16,はぼろ温泉サンセットプラザ,1,4,対象：男女,95,18,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng
17,紋太の湯,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
18,ホテル海晃本館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
19,紋別プリンスホテル,1,5,対象：男女,95,20,90,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
20,とままえ温泉ふわっと,2,4,対象：男女,80,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
21,ななかまどの館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
22,道の駅 かみゆうべつ温泉チューリップの湯,1,1,対象：-,90,14,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
23,美し乃湯温泉,1,3,対象：男女,90,18,82,21,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
24,サロマ湖 鶴雅リゾート,1,2,対象：男女,80,17,80,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
25,せいわ温泉ルオント,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
26,知床第一ホテル,1,3,対象：男女,90,15,85,15,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
27,ゆったりかん,0,3,対象：男女,?,?,90,16,-,-,-,-,-,ng,ng,ng,ng,ok,ng,-
28,ドーミーイン網走,0,8,男性専用,94,18,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
29,天都の宿 網走観光ホテル,1,2,対象：男女,-,-,82,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
30,北天の丘 あばしり湖鶴雅リゾート,1,4,対象：-,90,17,90,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
31,遊湯ぴっぷ,0,2,対象：男女,90,14,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
32,生田原温泉 ホテル ノースキング,0,1,対象：男女,90,16,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,ng
33,ホテル山水,1,2,対象：男女,?,?,80,15,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
34,ほろしん温泉ほたる館,1,2,対象：男女,90,12,90,12,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
35,のんたの湯,0,1,対象：-,85,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
36,小清水温泉ふれあいセンター,2,1,対象：男女,?,?,76,16,-,-,-,-,-,ng,ng,ng,ng,ok,ng,-
37,サンホールはぴねす,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
38,ヘルシーシャトー,0,2,対象：男女,90,-,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
39,北見湯元のつけ乃湯,3,12,対象：男女,90,14,85,14,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
40,高栄湯,0,0,対象：男女,90,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
41,漢方薬湯 旭川健康ランド,4,10,対象：男女,90,16,80,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
42,大雪乃湯,4,8,対象：男女,92,15,90,13,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
43,コナミスポーツクラブ旭川,0,4,対象：男女,88,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
44,天然温泉神威の湯ドーミーイン旭川,3,4,対象：-,90,16,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
45,星野リゾート OMO7 旭川 (旧:旭川グランドホテル) スパ プラトー,29,26,対象：男女,82,15,48,30,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
46,【閉店】富士サウナ,7,3,男性専用,110,16,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
47,天然温泉みなぴりかの湯(ホテルラッソグランデ旭川内),4,24,対象：男女,90,16.5,90,17,ng,ok,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
48,サンフラワーパークホテル,1,6,対象：男女,90,17,90,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
49,朝陽リゾートホテル,2,1,対象：男女,-,-,90,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng,ng
50,<公式>層雲峡温泉 層雲峡観光ホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
51,訓子府町役場 温泉保養センター,1,11,対象：男女,94,14,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
52,黒岳の湯,0,1,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
53,湯元 銀泉閣,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
54,ホテル大雪,3,2,対象：男女,90,13,90,13,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
55,森のゆ花神楽,2,5,対象：男女,90,15,85,12,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
56,旭岳温泉ホテルベアモンテ,0,1,対象：男女,90,21,90,21,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
57,ラビスタ大雪山,0,5,対象：男女,90,17,92,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
58,湯の閣 池田屋,1,3,対象：男女,98,-,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
59,川湯第一ホテル忍冬,1,1,対象：男女,?,?,90,15,-,-,-,-,-,ng,ng,ng,ng,ng,ng,-
60,おけと勝山温泉ゆうゆ,1,3,対象：男女,90,17,?,?,ng,ng,ok,ok,ok,ng,-,-,-,-,-,-
61,赤平市 保養センターエルム高原温泉・ゆったり,0,5,対象：男女,96,17,-,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ng,ok,ok
62,浜益保養センター(浜益温泉),2,4,対象：男女,92,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
63,ホテル モアン,0,1,対象：男女,85,18,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
64,トーヨーグランドホテル/TOYO GRAND HOTEL,0,2,対象：男女,90,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
65,ランプの宿森つべつ,3,3,対象：男女,80,20,75,18,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
66,ホテルマルエー温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
67,【一時休業】スターライトホテル,1,2,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
68,芦別温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
69,チロルの湯,2,7,対象：男女,90,17,90,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
70,上野サウナ&カプセルホテル北欧,823,2754,男性専用,106,14,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
71,ホテルパークヒルズ,4,3,対象：男女,-,8.3,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
72,森の旅亭びえい,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
73,大雪山白金観光ホテル,1,0,対象：男女,90,15,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
74,パンケの湯,0,1,対象：男女,90,11,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
75,フロンティア フラヌイ温泉,3,8,対象：男女,86,16,100,16,ng,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok
76,あかん遊久の里 鶴雅,2,4,対象：男女,80,20,85,14,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
77,阿寒の森鶴雅リゾート花ゆう香,0,0,対象：男女,90,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
78,阿寒湖畔温泉 ニュー阿寒ホテル,2,3,対象：男女,92,13,85,13,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
79,吹上温泉保養センター 白銀荘,184,66,対象：男女,80,14,80,15,ng,ng,ng,ok,ok,ok,ng,ng,ng,ng,ng,ok
80,カミホロ荘,3,1,対象：男女,88,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
81,別海町交流センター 郊楽苑,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
82,糠平館観光ホテル,0,1,男性専用,90,-,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
83,糠平温泉 中村屋,2,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
84,フラノ寶亭留,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
85,ピパの湯 ゆ〜りん館,5,6,対象：男女,90,13,84,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
86,月形温泉・ゆりかご,2,2,男性専用,90,11,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
87,岬の湯しゃこたん,1,6,対象：男女,85,13,95,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
88,富良野温泉 紫彩の湯,1,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
89,ホテル・テレーノ 気仙,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
90,日本海ふるびら温泉 しおかぜ,1,1,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
91,中小屋温泉,2,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
92,然別湖畔温泉ホテル風水,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
93,北村温泉ホテル,9,13,対象：男女,90,11,90,15,ng,ng,ng,ok,ok,ok,ng,ng,ng,ng,ok,ok
94,石狩天然温泉 番屋の湯,8,13,対象：男女,94,16,90,16,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
95,グリーンパークつるい,0,1,対象：-,88,-,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
96,しんしのつ温泉 たっぷの湯,0,6,対象：男女,80,15,90,14,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
97,松乃湯 (湯処 松の湯),1,1,対象：男女,88,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
98,天然温泉灯の湯ドーミーインPREMIUM小樽,0,7,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
99,余市川温泉 うちゅうの湯,0,1,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
100,ふとみ銘泉 万葉の湯,4,19,対象：男女,87,18,-,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
101,小樽温泉 オスパ,4,10,対象：男女,-,20,85,22,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
102,神仏湯温泉,1,2,対象：男女,90,17,90,17,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ng,-
103,ゆらら,3,8,対象：男女,90,18,80,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
104,コナミスポーツクラブ小樽,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
105,サホロリゾート,2,8,対象：男女,100,17,100,17,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
106,くったり温泉レイク・イン,1,1,対象：男女,96,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
107,湯の花 朝里殿,1,5,対象：男女,85,17,80,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
108,ログ ホテル メープルロッジ,116,119,対象：男女,70,14,80,14,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok,ng
109,札幌あいの里温泉なごみ,1,3,対象：男女,90,19,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
110,小樽朝里クラッセホテル,1,0,男性専用,85,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
111,シーステージ小樽,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
112,しほろ温泉プラザ緑風,0,19,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
113,あしべ(ACB)屯田店,4,4,対象：男女,95,18,90,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng
114,いいゆだな稲穂店,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
115,極楽湯 さっぽろ手稲店,2,31,対象：男女,95,18.4,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
116,新琴似温泉 壱乃湯,1,19,対象：男女,90,21,90,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
117,こうしんの湯,7,40,対象：男女,90,16,80,15,ng,ng,ng,ok,ok,-,ng,ng,ng,ok,ok,-
118,湯屋サーモン,2,11,対象：男女,88,19.5,82,19.5,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
119,シャトレーゼ ゴルフ&スパリゾートホテル栗山,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
120,赤井川カルデラ温泉・保養センター,2,0,対象：男女,?,?,-,-,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
121,山花温泉リフレ,0,2,対象：男女,95,-,-,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
122,スポーツクラブNAS札幌,0,1,対象：男女,?,?,85,20,-,-,-,-,-,ng,ng,ng,ng,ng,ng,-
123,笑福の湯,3,3,対象：男女,88,15,90,15,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng
124,なんぽろ温泉ハート&ハート(南幌温泉),10,31,対象：男女,90,14,92,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
125,スカイリゾートスパプラウブラン,18,28,対象：男女,95,16,90,17,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
126,湯めらんど,33,116,対象：男女,75,14,80,15,ok,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
127,苗穂駅前 蔵ノ湯,11,39,対象：男女,90,15,83,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
128,京王プラザホテル札幌,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
129,コナミスポーツクラブ札幌,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
130,ホテルモントレエーデルホフ札幌 カルロビ･バリ･スパ,17,13,対象：男女,96,12,85,12,ng,ng,ng,ok,ng,ok,ng,ng,ng,ng,ng,ok
131,星野リゾート トマム ザ･タワー,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
132,ロイトン札幌,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
133,サンシャインスポーツクラブ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
134,ホテルパラダイスヒルズ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
135,ドーミーインPREMIUM札幌,3,3,対象：男女,90,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
136,ドーミーイン札幌ANNEX,3,13,対象：男女,96,20,89,20,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
137,スポーツクラブNAS東札幌,0,10,対象：男女,80,18,90,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
138,コナミスポーツクラブ 札幌円山,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
139,SPA HOTEL SOLE(ソーレ)すすきの,6,21,男性専用,82,14,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
140,喜楽湯,80,70,対象：男女,95,20,100,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
141,すすきの天然温泉 スパ・サフロ,162,119,対象：男女,90,11,110,18,ng,ok,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
142,森林公園温泉 きよら,18,35,対象：男女,90,15,82,11,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
143,ホテルライン,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
144,円山温泉,1,5,対象：男女,105,16,100,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
145,ホテルマイステイズ プレミア札幌パーク パークサイドスパ,3,22,対象：男女,94,18,82,14,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
146,FORESTA(フォレスタ),0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
147,コナミスポーツクラブ白石,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
148,コナミスポーツクラブ新札幌,0,1,対象：男女,?,?,78,18,-,-,-,-,-,ng,ng,ng,ng,ng,ng,-
149,湯めごこち 南郷の湯,20,39,対象：男女,88,13,81,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
150,北のたまゆら 厚別,0,5,対象：男女,80,20,70,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
151,大喜湯昭和店,8,24,対象：男女,80,16,80,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
152,コナミスポーツクラブ大谷地,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
153,天然温泉 緑の湯,1,5,対象：男女,80,15,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
154,ゆうばり温泉 ユーパロの湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
155,天然温泉 ふみぞの湯,3,42,対象：男女,92,19,85,17,ok,ng,ng,ok,ok,ok,ok,ng,ng,ok,ok,ok
156,【閉店】コナミスポーツクラブ西岡,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
157,森のゆ,7,18,対象：-,90,15,85,15.3,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
158,コナミスポーツクラブもいわ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
159,栄湯,9,42,対象：-,95,16,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,ng
160,アパホテル&リゾート〈札幌〉,0,4,女性専用,?,?,90,19,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
161,十勝川 国際ホテル筒井,0,1,対象：男女,-,-,85,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
162,天然温泉幣舞の湯 ラビスタ釧路川(ドーミーインチェーン),2,2,対象：男女,85,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
163,札幌 北広島クラッセホテル,2,17,対象：男女,92,17,90,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
164,鳳乃舞温泉 音更,4,13,対象：男女,90,13,80,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
165,定山渓ビューホテル,1,1,対象：男女,-,20,-,-,ng,ng,ng,ng,ok,ng,ng,ng,ng,ok,ok,ng
166,翠蝶館,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
167,翠山亭,0,0,男性専用,90,12,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
168,定山渓 鶴雅リゾートスパ 森の謌,6,4,対象：男女,-,-,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
169,定山渓グランドホテル瑞苑,0,2,対象：男女,95,30,80,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
170,定山渓温泉 湯の花,4,35,対象：男女,88,17,91,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
171,いわない温泉 おかえりなさい,3,1,対象：男女,88,17,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
172,竹山高原温泉,2,7,対象：男女,90,14,80,15,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
173,いわない高原ホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
174,うらほろ留真温泉,3,1,対象：男女,?,?,90,12,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
175,笹井ホテル,1,1,対象：男女,90,23,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
176,ホリデーイン ホテル十勝川,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
177,ホテル大平原,1,3,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
178,十勝川温泉 観月苑,2,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
179,札内ガーデン温泉,2,2,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
180,オベリベリ温泉 水光園,7,14,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
181,ドーミーイン帯広,3,8,対象：男女,94,22,90,15,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ok,ng
182,ローマノ福の湯,14,9,対象：男女,100,14,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
183,アサヒ湯,3,6,対象：男女,92,17,92,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
184,たぬきの里,1,5,対象：男女,94,17,?,?,ng,ng,ng,ng,ng,ok,-,-,-,-,-,-
185,朋の湯温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
186,みどりヶ丘温泉サウナホテル,1,5,男性専用,90,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
187,温泉鳳乃舞 芽室,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
188,天然温泉 ホテル光南,2,3,対象：男女,94,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
189,自由ケ丘温泉,8,12,対象：-,89,17,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
190,十勝幕別温泉 グランヴィリオホテル,1,0,対象：男女,-,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
191,ひまわり温泉 森の郷,1,6,対象：男女,92,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
192,えにわ温泉ほのか,2,19,対象：男女,90,15,75,15,ok,ng,ng,ok,ok,ng,ok,ng,ng,ok,ok,ng
193,ひだか高原荘,0,2,対象：男女,90,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
194,木ニセコ,1,1,対象：男女,85,12,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
195,ひらふ亭,0,1,対象：男女,94,19,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
196,ニセコ温泉郷 いこいの湯宿 いろは,1,1,対象：男女,87,18,78,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
197,ホテル甘露の森,0,2,対象：男女,88,-,88,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
198,勇舞湯,0,5,対象：男女,80,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
199,ニセコ昆布温泉 鶴雅別荘 杢の抄,0,1,対象：男女,95,18,92,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
200,ニセコ駅前温泉 綺羅乃湯,22,16,対象：男女,80,15,90,14,ng,ng,ok,ok,ok,ok,ng,ng,ok,ok,ok,ok
201,新千歳空港温泉,66,76,対象：男女,90,19,88,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
202,休暇村支笏湖,1,1,対象：男女,82,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
203,まっかり温泉,1,2,対象：男女,90,13,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
204,寿都温泉ゆべつのゆ,0,1,対象：男女,?,?,90,18,-,-,-,-,-,ng,ng,ng,ng,ng,ng,-
205,早来カントリー倶楽部,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
206,こぶしの湯 あつま,1,3,男性専用,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
207,黒松内温泉ぶなの森,1,4,対象：男女,100,15,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
208,福祉の里温泉,0,1,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
209,天然温泉樽前の湯ドーミーイン苫小牧,0,2,対象：男女,97,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
210,苫の湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
211,きたゆざわ 森のソラニワ,0,2,対象：男女,88,17,85,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ok,ng
212,ゆのみの湯,0,3,男性専用,90,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
213,ザ・ウィンザーホテル洞爺リゾート&スパ,1,0,対象：男女,-,-,-,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
214,天然豊浦温泉しおさい,0,3,対象：男女,90,16,?,?,ng,ok,ng,ok,ng,ng,-,-,-,-,-,-
