,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
0,稚内温泉 童夢,0,4,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
1,天然温泉天北の湯ドーミーイン稚内,2,4,対象：男女,96,16,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
2,稚内天然温泉 港のゆ,5,5,対象：男女,92,20,90,17,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
5,礼文島温泉 うすゆきの湯,3,5,対象：男女,90,18,90,12,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
6,利尻富士温泉,12,7,対象：男女,100,7,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
7,はまとんべつ温泉ウイング,0,0,対象：男女,90,18,90,18,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ng,-
9,てしお温泉夕映,1,5,対象：男女,90,20,90,16,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
11,うたのぼりグリーンパークホテル,1,2,対象：男女,90,13,90,13,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
13,しょさんべつ温泉 岬の湯,2,9,対象：男女,95,17,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
14,オホーツク温泉ホテル日の出岬,1,2,対象：男女,95,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
15,なよろ温泉サンピラー,0,1,対象：男女,94,17,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
16,はぼろ温泉サンセットプラザ,1,4,対象：男女,95,18,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng
19,紋別プリンスホテル,1,5,対象：男女,95,20,90,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
20,とままえ温泉ふわっと,2,4,対象：男女,80,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
22,道の駅 かみゆうべつ温泉チューリップの湯,1,1,対象：-,90,14,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
23,美し乃湯温泉,1,3,対象：男女,90,18,82,21,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
24,サロマ湖 鶴雅リゾート,1,2,対象：男女,80,17,80,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
26,知床第一ホテル,1,3,対象：男女,90,15,85,15,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
28,ドーミーイン網走,0,8,男性専用,94,18,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
30,北天の丘 あばしり湖鶴雅リゾート,1,4,対象：-,90,17,90,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
31,遊湯ぴっぷ,0,2,対象：男女,90,14,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
32,生田原温泉 ホテル ノースキング,0,1,対象：男女,90,16,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,ng
34,ほろしん温泉ほたる館,1,2,対象：男女,90,12,90,12,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
35,のんたの湯,0,1,対象：-,85,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
39,北見湯元のつけ乃湯,3,12,対象：男女,90,14,85,14,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
40,高栄湯,0,0,対象：男女,90,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
41,漢方薬湯 旭川健康ランド,4,10,対象：男女,90,16,80,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
42,大雪乃湯,4,8,対象：男女,92,15,90,13,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
43,コナミスポーツクラブ旭川,0,4,対象：男女,88,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
44,天然温泉神威の湯ドーミーイン旭川,3,4,対象：-,90,16,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
45,星野リゾート OMO7 旭川 (旧:旭川グランドホテル) スパ プラトー,29,26,対象：男女,82,15,48,30,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
46,【閉店】富士サウナ,7,3,男性専用,110,16,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
47,天然温泉みなぴりかの湯(ホテルラッソグランデ旭川内),4,24,対象：男女,90,16.5,90,17,ng,ok,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
48,サンフラワーパークホテル,1,6,対象：男女,90,17,90,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
51,訓子府町役場 温泉保養センター,1,11,対象：男女,94,14,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
52,黒岳の湯,0,1,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
54,ホテル大雪,3,2,対象：男女,90,13,90,13,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
55,森のゆ花神楽,2,5,対象：男女,90,15,85,12,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
56,旭岳温泉ホテルベアモンテ,0,1,対象：男女,90,21,90,21,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
57,ラビスタ大雪山,0,5,対象：男女,90,17,92,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
60,おけと勝山温泉ゆうゆ,1,3,対象：男女,90,17,?,?,ng,ng,ok,ok,ok,ng,-,-,-,-,-,-
61,赤平市 保養センターエルム高原温泉・ゆったり,0,5,対象：男女,96,17,-,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ng,ok,ok
62,浜益保養センター(浜益温泉),2,4,対象：男女,92,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
63,ホテル モアン,0,1,対象：男女,85,18,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
64,トーヨーグランドホテル/TOYO GRAND HOTEL,0,2,対象：男女,90,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
65,ランプの宿森つべつ,3,3,対象：男女,80,20,75,18,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
67,【一時休業】スターライトホテル,1,2,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
69,チロルの湯,2,7,対象：男女,90,17,90,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
70,上野サウナ&カプセルホテル北欧,823,2754,男性専用,106,14,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
73,大雪山白金観光ホテル,1,0,対象：男女,90,15,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
74,パンケの湯,0,1,対象：男女,90,11,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
75,フロンティア フラヌイ温泉,3,8,対象：男女,86,16,100,16,ng,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok
76,あかん遊久の里 鶴雅,2,4,対象：男女,80,20,85,14,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
78,阿寒湖畔温泉 ニュー阿寒ホテル,2,3,対象：男女,92,13,85,13,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
79,吹上温泉保養センター 白銀荘,184,66,対象：男女,80,14,80,15,ng,ng,ng,ok,ok,ok,ng,ng,ng,ng,ng,ok
80,カミホロ荘,3,1,対象：男女,88,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
85,ピパの湯 ゆ〜りん館,5,6,対象：男女,90,13,84,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
86,月形温泉・ゆりかご,2,2,男性専用,90,11,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
87,岬の湯しゃこたん,1,6,対象：男女,85,13,95,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
90,日本海ふるびら温泉 しおかぜ,1,1,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
93,北村温泉ホテル,9,13,対象：男女,90,11,90,15,ng,ng,ng,ok,ok,ok,ng,ng,ng,ng,ok,ok
94,石狩天然温泉 番屋の湯,8,13,対象：男女,94,16,90,16,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
96,しんしのつ温泉 たっぷの湯,0,6,対象：男女,80,15,90,14,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
97,松乃湯 (湯処 松の湯),1,1,対象：男女,88,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
99,余市川温泉 うちゅうの湯,0,1,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
100,ふとみ銘泉 万葉の湯,4,19,対象：男女,87,18,-,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
102,神仏湯温泉,1,2,対象：男女,90,17,90,17,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ng,-
103,ゆらら,3,8,対象：男女,90,18,80,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
105,サホロリゾート,2,8,対象：男女,100,17,100,17,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
106,くったり温泉レイク・イン,1,1,対象：男女,96,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
107,湯の花 朝里殿,1,5,対象：男女,85,17,80,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
108,ログ ホテル メープルロッジ,116,119,対象：男女,70,14,80,14,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok,ng
109,札幌あいの里温泉なごみ,1,3,対象：男女,90,19,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
110,小樽朝里クラッセホテル,1,0,男性専用,85,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
112,しほろ温泉プラザ緑風,0,19,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
113,あしべ(ACB)屯田店,4,4,対象：男女,95,18,90,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng
115,極楽湯 さっぽろ手稲店,2,31,対象：男女,95,18.4,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
116,新琴似温泉 壱乃湯,1,19,対象：男女,90,21,90,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
117,こうしんの湯,7,40,対象：男女,90,16,80,15,ng,ng,ng,ok,ok,-,ng,ng,ng,ok,ok,-
118,湯屋サーモン,2,11,対象：男女,88,19.5,82,19.5,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
123,笑福の湯,3,3,対象：男女,88,15,90,15,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng
124,なんぽろ温泉ハート&ハート(南幌温泉),10,31,対象：男女,90,14,92,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
125,スカイリゾートスパプラウブラン,18,28,対象：男女,95,16,90,17,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
126,湯めらんど,33,116,対象：男女,75,14,80,15,ok,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
127,苗穂駅前 蔵ノ湯,11,39,対象：男女,90,15,83,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
130,ホテルモントレエーデルホフ札幌 カルロビ･バリ･スパ,17,13,対象：男女,96,12,85,12,ng,ng,ng,ok,ng,ok,ng,ng,ng,ng,ng,ok
135,ドーミーインPREMIUM札幌,3,3,対象：男女,90,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
136,ドーミーイン札幌ANNEX,3,13,対象：男女,96,20,89,20,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
137,スポーツクラブNAS東札幌,0,10,対象：男女,80,18,90,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
139,SPA HOTEL SOLE(ソーレ)すすきの,6,21,男性専用,82,14,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
140,喜楽湯,80,70,対象：男女,95,20,100,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
141,すすきの天然温泉 スパ・サフロ,162,119,対象：男女,90,11,110,18,ng,ok,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
142,森林公園温泉 きよら,18,35,対象：男女,90,15,82,11,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
144,円山温泉,1,5,対象：男女,105,16,100,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
145,ホテルマイステイズ プレミア札幌パーク パークサイドスパ,3,22,対象：男女,94,18,82,14,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
149,湯めごこち 南郷の湯,20,39,対象：男女,88,13,81,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
150,北のたまゆら 厚別,0,5,対象：男女,80,20,70,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
151,大喜湯昭和店,8,24,対象：男女,80,16,80,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
153,天然温泉 緑の湯,1,5,対象：男女,80,15,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
155,天然温泉 ふみぞの湯,3,42,対象：男女,92,19,85,17,ok,ng,ng,ok,ok,ok,ok,ng,ng,ok,ok,ok
157,森のゆ,7,18,対象：-,90,15,85,15.3,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
159,栄湯,9,42,対象：-,95,16,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,ng
162,天然温泉幣舞の湯 ラビスタ釧路川(ドーミーインチェーン),2,2,対象：男女,85,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
163,札幌 北広島クラッセホテル,2,17,対象：男女,92,17,90,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
164,鳳乃舞温泉 音更,4,13,対象：男女,90,13,80,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
167,翠山亭,0,0,男性専用,90,12,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
169,定山渓グランドホテル瑞苑,0,2,対象：男女,95,30,80,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
170,定山渓温泉 湯の花,4,35,対象：男女,88,17,91,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
171,いわない温泉 おかえりなさい,3,1,対象：男女,88,17,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
172,竹山高原温泉,2,7,対象：男女,90,14,80,15,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
175,笹井ホテル,1,1,対象：男女,90,23,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
177,ホテル大平原,1,3,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
179,札内ガーデン温泉,2,2,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
180,オベリベリ温泉 水光園,7,14,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
181,ドーミーイン帯広,3,8,対象：男女,94,22,90,15,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ok,ng
182,ローマノ福の湯,14,9,対象：男女,100,14,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
183,アサヒ湯,3,6,対象：男女,92,17,92,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
184,たぬきの里,1,5,対象：男女,94,17,?,?,ng,ng,ng,ng,ng,ok,-,-,-,-,-,-
186,みどりヶ丘温泉サウナホテル,1,5,男性専用,90,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
188,天然温泉 ホテル光南,2,3,対象：男女,94,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
189,自由ケ丘温泉,8,12,対象：-,89,17,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
191,ひまわり温泉 森の郷,1,6,対象：男女,92,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
192,えにわ温泉ほのか,2,19,対象：男女,90,15,75,15,ok,ng,ng,ok,ok,ng,ok,ng,ng,ok,ok,ng
193,ひだか高原荘,0,2,対象：男女,90,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
194,木ニセコ,1,1,対象：男女,85,12,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
195,ひらふ亭,0,1,対象：男女,94,19,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
196,ニセコ温泉郷 いこいの湯宿 いろは,1,1,対象：男女,87,18,78,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
198,勇舞湯,0,5,対象：男女,80,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
199,ニセコ昆布温泉 鶴雅別荘 杢の抄,0,1,対象：男女,95,18,92,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
200,ニセコ駅前温泉 綺羅乃湯,22,16,対象：男女,80,15,90,14,ng,ng,ok,ok,ok,ok,ng,ng,ok,ok,ok,ok
201,新千歳空港温泉,66,76,対象：男女,90,19,88,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
203,まっかり温泉,1,2,対象：男女,90,13,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
206,こぶしの湯 あつま,1,3,男性専用,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
207,黒松内温泉ぶなの森,1,4,対象：男女,100,15,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
208,福祉の里温泉,0,1,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
209,天然温泉樽前の湯ドーミーイン苫小牧,0,2,対象：男女,97,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
211,きたゆざわ 森のソラニワ,0,2,対象：男女,88,17,85,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ok,ng
212,ゆのみの湯,0,3,男性専用,90,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
214,天然豊浦温泉しおさい,0,3,対象：男女,90,16,?,?,ng,ok,ng,ok,ng,ng,-,-,-,-,-,-
215,道の駅 むかわ四季の館,1,3,対象：男女,85,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
216,洞爺湖万世閣 ホテルレイクサイドテラス,42,32,対象：男女,90,12,85,11,ng,ok,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
220,ナウマン温泉ホテル アルコ236,5,29,対象：男女,96,14,90,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng
221,登別 石水亭,0,2,対象：男女,90,18,90,15,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
222,温泉銭湯 夢元(ゆもと) さぎり湯,6,7,対象：男女,92,13.7,90,12,ng,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok
223,登別温泉 登別グランドホテル,2,1,対象：男女,90,12,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
224,登別万世閣,0,1,対象：男女,88,13,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
225,ホテルオーシャン,0,2,対象：男女,90,15.3,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
226,今金町交流促進センター あったからんど,0,2,対象：男女,91,15,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
228,ドーミーイン東室蘭,1,4,対象：男女,92,17.5,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
230,静内温泉,0,8,対象：男女,85,18,85,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
232,みついし昆布温泉 蔵三,6,11,対象：男女,86,15,84,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
241,南茅部保養センター,0,1,対象：男女,88,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
242,ホテル函館ひろめ荘,0,2,対象：男女,94,19,90,19,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
243,俄虫温泉旅館大成,0,0,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
244,ニヤマ温泉あじさいの湯,0,0,対象：男女,80,11,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
245,ゆうひの館,1,3,対象：男女,90,14,?,?,ng,ng,ng,ok,ng,ok,-,-,-,-,-,-
247,七飯町健康センターアップル温泉,0,1,男性専用,88,16,?,?,ng,ng,ng,ok,ng,ok,-,-,-,-,-,-
248,湯元 花の湯,2,12,対象：男女,92,15,96,16,ng,ng,ng,ok,ok,ok,ng,ng,ng,ng,ng,ok
250,ホテル恵風,8,9,対象：男女,92,17,?,?,ng,ng,ok,ok,ok,ok,-,-,-,-,-,-
251,山の手温泉,2,1,対象：男女,75,17,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
256,ホテル万惣,4,9,対象：男女,90,20,88,20,ng,ng,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
258,谷地頭温泉,22,26,対象：男女,87,20,80,9,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
261,海峡保養センター大間温泉,0,1,対象：男女,80,19.6,?,?,ng,ng,ng,ng,ok,-,-,-,-,-,-,-
265,温泉旅館矢野,6,3,対象：男女,95,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
273,蓬田村役場 ふれあいセンター・よもぎ温泉,1,0,男性専用,95,16,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
275,平内いきいき健康館(よごしやま温泉),0,2,対象：男女,90,19,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
279,あおもり健康ランド,12,10,対象：男女,90,18,80,18,ng,ng,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
281,沖館温泉,3,1,男性専用,90,20,?,?,ng,ng,ng,ng,ok,-,-,-,-,-,-,-
283,青森まちなかおんせん,11,15,対象：男女,90,22,85,20,ng,ng,ng,ok,ok,ok,ng,ok,ng,ok,ok,ok
287,つくだ温泉 ゆーぽっぽ,0,1,対象：男女,92,26,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
288,桂木温泉,2,1,対象：男女,70,17,?,?,ng,ok,ng,ng,ng,ng,-,-,-,-,-,-
292,音次郎温泉旅館,0,1,男性専用,88,25,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
295,極楽湯 青森店,3,6,対象：男女,90,17.8,90,17.8,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
304,和ノ湯,2,5,対象：男女,98,15,90,20,ng,ng,ng,ok,ng,ok,ng,ng,ng,ok,ng,ok
306,平畑温泉,2,3,対象：男女,80,14,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
308,三沢空港温泉,2,9,対象：男女,82,14,75,-,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ok,ng
309,桂温泉,2,3,対象：男女,85,14,72,-,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
310,ポパイ温泉,1,4,対象：男女,108,23,100,17,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
313,あおば温泉,1,1,対象：男女,98,19,50,21,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
315,はたけのゆっこ,0,1,男性専用,86,20.5,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
316,富士見温泉,0,1,対象：男女,94,24,92,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
317,星野リゾート 青森屋,5,7,対象：男女,92,17,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
319,八甲田ホテル,22,5,対象：男女,90,9,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
320,一本木沢温泉,2,1,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
321,紅葉の湯,1,1,対象：男女,90,20,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
323,やすらぎ温泉,0,0,対象：男女,92,24,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
324,平川温泉,0,1,男性専用,111,24,?,?,ng,ng,ng,ng,ng,ok,-,-,-,-,-,-
325,黄金崎不老ふ死温泉,4,2,対象：男女,80,19,82,21,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
328,ホテル ポニー温泉,2,2,対象：男女,95,20,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
329,十和田温泉,7,3,対象：男女,77,18,?,?,ng,ok,ng,ok,ok,ok,-,-,-,-,-,-
330,アクアセラピ温泉 森ランド,0,3,対象：男女,85,16,85,16,ng,ng,ng,ok,ok,-,ng,ng,ng,ok,ok,-
331,ホテルリコルソ弘前,1,5,男性専用,96,24,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
332,カプセルイン弘前・アサヒサウナ,0,16,男性専用,95,22,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
333,からんころん温泉,0,2,対象：男女,87,17.5,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
334,天然温泉岩木桜の湯ドーミーイン弘前,2,7,対象：男女,92,19,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
336,桔梗野温泉,0,0,男性専用,45,23,?,?,ng,ng,ng,ng,ng,ok,-,-,-,-,-,-
338,御所温泉,0,0,対象：男女,86,24,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
339,奥入瀬 森のホテル,0,0,対象：男女,84,26,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
342,おおびらき温泉,0,1,対象：男女,95,20,?,?,ng,ng,ng,ng,ng,ok,-,-,-,-,-,-
343,せせらぎ温泉,0,4,対象：-,86,23,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
344,白馬龍神温泉,0,1,男性専用,49,24.5,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
345,花の湯,0,2,対象：男女,88,26,-,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
346,スーパー銭湯極楽湯八戸店,1,8,対象：男女,90,16,82,16,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
347,不二やホテル,0,0,男性専用,80,22,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
348,はちのへゆーゆらんど新八温泉,15,22,対象：男女,96,16,65,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
349,大鰐町地域交流センター 鰐come,14,13,対象：男女,100,21,68,19.5,ng,ng,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
351,八戸城下町温泉 花衣,1,1,対象：男女,85,27.6,72,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
359,大館矢立ハイツ,3,5,対象：男女,88,14,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
361,マリンサイドスパたねいち,0,2,対象：男女,110,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
